work_year,experience_level,employment_type,job_title,salary,employee_residence,workplace_type,company_location,company_size,Job_Category
2024,Mid,Full Time,Data Manager,98500,US,Remote,US,M,Data Management
2024,Mid,Full Time,Data Manager,71500,US,Remote,US,M,Data Management
2024,Senior,Full Time,Machine Learning Engineer,200800,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,107800,US,In Person,US,M,Machine Learning Engineer
2024,Entry,Full Time,Data Analyst,106100,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,Data Analyst,74300,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Analyst,153900,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Data Analyst,112715,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Analytics Engineer,105000,US,In Person,US,M,Data Analyst
2024,Senior,Full Time,Analytics Engineer,94200,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Product Manager,171000,US,Remote,US,M,Data Management
2024,Mid,Full Time,Data Product Manager,136000,US,Remote,US,M,Data Management
2024,Senior,Full Time,Machine Learning Engineer,221000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Engineer,185000,US,In Person,US,M,Machine Learning Engineer
2024,Entry,Full Time,Data Analyst,92700,US,Remote,US,M,Data Analyst
2024,Entry,Full Time,Data Analyst,64900,US,Remote,US,M,Data Analyst
2024,Mid,Full Time,Data Engineer,126600,US,In Person,US,M,Data Engineer
2024,Mid,Full Time,Data Engineer,80800,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Data Scientist,164845,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,119887,US,In Person,US,M,Data Scientist
2024,Entry,Full Time,Data Analyst,93000,US,In Person,US,M,Data Analyst
2024,Entry,Full Time,Data Analyst,87000,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Analyst,103500,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Data Analyst,65600,US,In Person,US,M,Data Analyst
2024,Mid,Full Time,Business Intelligence Engineer,165600,US,In Person,US,L,Data Engineer
2024,Mid,Full Time,Business Intelligence Engineer,65800,US,In Person,US,L,Data Engineer
2024,Senior,Full Time,Data Scientist,164000,US,Remote,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,152000,US,Remote,US,M,Data Scientist
2024,Senior,Full Time,Applied Scientist,250000,US,Remote,US,M,Research Scientist
2024,Senior,Full Time,Applied Scientist,180000,US,Remote,US,M,Research Scientist
2024,Mid,Full Time,Machine Learning Engineer,202000,US,In Person,US,M,Machine Learning Engineer
2024,Mid,Full Time,Machine Learning Engineer,137000,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Scientist,204600,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Machine Learning Scientist,84500,US,In Person,US,M,Machine Learning Engineer
2024,Senior,Full Time,Research Engineer,190000,US,In Person,US,M,Data Engineer
2024,Senior,Full Time,Research Engineer,151500,US,In Person,US,M,Data Engineer
2024,Mid,Full Time,Data Science,81250,GB,In Person,GB,M,Other
2024,Mid,Full Time,Data Science,68750,GB,In Person,GB,M,Other
2024,Senior,Full Time,Data Scientist,168800,US,In Person,US,M,Data Scientist
2024,Senior,Full Time,Data Scientist,93800,US,In Person,US,M,Data Scientist
